"filename", "language", "HTML", "JSON", "CSS", "Properties", "JavaScript", "comment", "blank", "total"
"c:\Users\User\almelad-factory\.env", "Properties", 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\User\almelad-factory\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 14, 1, 4, 19
"c:\Users\User\almelad-factory\models\admin.js", "JavaScript", 0, 0, 0, 0, 10, 1, 4, 15
"c:\Users\User\almelad-factory\package-lock.json", "JSON", 0, 707, 0, 0, 0, 0, 0, 707
"c:\Users\User\almelad-factory\package.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\almelad-factory\public\admin\add-product.html", "HTML", 105, 0, 0, 0, 0, 0, 6, 111
"c:\Users\User\almelad-factory\public\admin\admin.js", "JavaScript", 0, 0, 0, 0, 84, 7, 9, 100
"c:\Users\User\almelad-factory\public\admin\dashboard.html", "HTML", 47, 0, 0, 0, 0, 0, 2, 49
"c:\Users\User\almelad-factory\public\admin\edit-product.html", "HTML", 117, 0, 0, 0, 0, 0, 7, 124
"c:\Users\User\almelad-factory\public\admin\edit.html", "HTML", -104, 0, 0, 0, 0, 0, -12, -116
"c:\Users\User\almelad-factory\public\admin\layout.html", "HTML", -26, 0, 0, 0, 0, -1, -1, -28
"c:\Users\User\almelad-factory\public\admin\login.html", "HTML", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\User\almelad-factory\public\admin\manage.html", "HTML", -117, 0, 0, 0, 0, 0, -7, -124
"c:\Users\User\almelad-factory\public\admin\styles.css", "CSS", 0, 0, 46, 0, 0, 0, 0, 46
"c:\Users\User\almelad-factory\public\index.html", "HTML", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\almelad-factory\scripts\createAdmin.js", "JavaScript", 0, 0, 0, 0, 19, 1, 7, 27
"c:\Users\User\almelad-factory\server.js", "JavaScript", 0, 0, 0, 0, 57, 0, 5, 62
"Total", "-", 34, 709, 46, 1, 184, 9, 30, 1013